ID	Register_Address	Operation	Register_Length	Register_Name	Data_Format	Description
124	277	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI8	8 Bit Unsigned Integer	digit and analog setting for input8
125	278	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI9	8 Bit Unsigned Integer	digit and analog setting for input9
126	279	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI10	8 Bit Unsigned Integer	digit and analog setting for input10
127	280	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI11	8 Bit Unsigned Integer	digit and analog setting for input11
128	281	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI12	8 Bit Unsigned Integer	digit and analog setting for input12
129	282	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI13	8 Bit Unsigned Integer	digit and analog setting for input13
130	283	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI14	8 Bit Unsigned Integer	digit and analog setting for input14
131	284	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI15	8 Bit Unsigned Integer	digit and analog setting for input15
132	285	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI16	8 Bit Unsigned Integer	digit and analog setting for input16
133	286	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI17	8 Bit Unsigned Integer	digit and analog setting for input17
134	287	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI18	8 Bit Unsigned Integer	digit and analog setting for input18
135	288	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI19	8 Bit Unsigned Integer	digit and analog setting for input19
136	289	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI20	8 Bit Unsigned Integer	digit and analog setting for input20
137	290	03_06 Read Holding and Write Single	1	MODBUS_AI_DI_AI21	8 Bit Unsigned Integer	digit and analog setting for input21
138	291	03_06 Read Holding and Write Single	1	MODBUS_AI_JUPER0	8 Bit Unsigned Integer	
139	292	03_06 Read Holding and Write Single	1	MODBUS_AI_JUPER1	8 Bit Unsigned Integer	
140	293	03_06 Read Holding and Write Single	1	MODBUS_AI_JUPER2	8 Bit Unsigned Integer	
141	294	03_06 Read Holding and Write Single	1	MODBUS_AI_JUPER3	8 Bit Unsigned Integer	
